"ServicesID","EnrollmentID","PersonalID","DateProvided","RecordType","TypeProvided","OtherTypeProvided","MovingOnOtherType","SubTypeProvided","FAAmount","FAStartDate","FAEndDate","ReferralOutcome","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"4651237","843040","13473",2022-03-07,144,2,,,,,,,,2022-03-10 13:53:32,2022-03-10 13:53:32,"23",,"1036"
"4651581","843040","13473",2022-03-10,152,2,,,,1800,2022-03-10,2022-03-10,,2022-03-11 09:42:52,2022-03-11 09:42:52,"23",,"1036"
"4651582","843040","13473",2022-03-10,152,1,,,,900,2022-03-10,2022-03-10,,2022-03-11 09:43:25,2022-03-11 09:43:25,"23",,"1036"
"4659912","843040","13473",2022-03-30,152,1,,,,900,2022-03-30,2022-05-29,,2022-03-30 13:14:11,2022-03-30 13:14:11,"23",,"1036"
"4663269","843040","13473",2022-04-04,144,2,,,,,,,,2022-04-06 09:43:30,2022-04-06 09:43:30,"23",,"1036"
"4672722","843040","13473",2022-04-26,152,1,,,,900,2022-04-26,2022-06-25,,2022-04-26 11:29:55,2022-04-26 11:29:55,"23",,"1036"
"4678516","843040","13473",2022-05-06,144,2,,,,,,,,2022-05-06 15:45:52,2022-05-06 15:45:52,"23",,"1036"
"4686596","843040","13473",2022-05-24,144,2,,,,,,,,2022-05-25 10:38:50,2022-05-25 10:38:50,"23",,"1036"
"4686607","843040","13473",2022-05-25,152,1,,,,900,2022-05-25,2022-06-24,,2022-05-25 11:07:21,2022-05-25 11:07:21,"23",,"1036"
"4701057","843040","13473",2022-06-23,144,2,,,,,,,,2022-06-24 08:15:55,2022-06-24 08:15:55,"23",,"1036"
"4701238","843040","13473",2022-06-24,152,15,,,,450,2022-06-24,2022-06-24,,2022-06-24 10:36:42,2022-06-24 10:36:42,"23",,"1036"
"4712257","843040","13473",2022-07-13,144,7,,,,,,,,2022-07-15 15:35:37,2022-07-15 15:35:37,"23",,"1036"
"4719849","843040","13473",2022-07-26,152,15,,,,450,2022-07-26,2022-07-26,,2022-07-27 16:16:08,2022-07-27 16:16:08,"23",,"1036"
"4741684","843040","13473",2022-08-30,144,7,,,,,,,,2022-09-01 10:45:33,2022-09-01 10:45:33,"23",,"1036"
"4750633","843040","13473",2022-09-15,144,7,,,,,,,,2022-09-19 14:02:52,2022-09-19 14:02:52,"23",,"1036"
"4313071","758206","328052",2020-01-09,144,2,,,,,,,,2020-01-14 14:14:06,2020-01-14 14:14:06,"26",,"1036"
"4312384","758206","328052",2020-01-10,152,1,,,,297,2020-01-10,2020-02-09,,2020-01-13 12:44:01,2020-01-13 12:44:01,"22",,"1036"
"4316412","758206","328052",2020-01-16,144,2,,,,,,,,2020-01-22 13:55:17,2020-01-22 13:55:17,"26",,"1036"
"4368988","772516","342418",2020-06-04,144,2,,,,,,,,2020-06-04 15:10:37,2020-06-04 15:10:37,"24",,"1036"
"4369369","772516","342418",2020-06-05,144,2,,,,,,,,2020-06-05 14:58:09,2020-06-05 14:58:09,"24",,"1036"
"4369370","772516","342418",2020-06-05,144,2,,,,,,,,2020-06-05 14:58:25,2020-06-05 14:58:25,"24",,"1036"
"4369371","772516","342418",2020-06-05,144,2,,,,,,,,2020-06-05 14:58:41,2020-06-05 14:58:41,"24",,"1036"
