"YouthEducationStatusID","EnrollmentID","PersonalID","InformationDate","CurrentSchoolAttend","MostRecentEdStatus","CurrentEdStatus","DataCollectionStage","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"829635_1","829635","2615",2021-09-29,,,,1,2021-11-03 13:51:13,2022-03-15 13:38:15,"17",,"1036"
"829635_3","829635","2615",2022-02-18,,,,3,2021-11-03 13:51:13,2022-03-15 13:38:15,"17",,"1036"
"736841_1","736841","2616",2019-05-15,,,,1,2019-06-13 11:01:57,2020-07-23 15:28:59,"17",,"1036"
"736841_3","736841","2616",2020-07-23,,,,3,2019-06-13 11:01:57,2020-07-23 15:28:59,"17",,"1036"
"278060_1","278060","3166",2009-05-11,,,,1,2009-05-11 14:30:37,2021-05-03 14:47:32,"59",,"1036"
"278060_3","278060","3166",2021-05-03,,,,3,2009-05-11 14:30:37,2021-05-03 14:47:32,"59",,"1036"
"810138_1","810138","5913",2021-04-22,,,,1,2021-04-22 08:29:35,2022-02-11 11:09:30,"18",,"1036"
"810138_3","810138","5913",2022-02-11,,,,3,2021-04-22 08:29:35,2022-02-11 11:09:30,"18",,"1036"
"843368_1","843368","6072",2021-12-29,,,,1,2022-03-09 14:57:46,2022-03-09 14:58:12,"28",,"1036"
"843368_3","843368","6072",2021-12-30,,,,3,2022-03-09 14:57:46,2022-03-09 14:58:12,"28",,"1036"
"764732_1","764732","9375",2020-03-04,,,,1,2020-03-04 07:40:54,2020-06-05 08:03:00,"59",,"1036"
"764732_3","764732","9375",2020-06-05,,,,3,2020-03-04 07:40:54,2020-06-05 08:03:00,"59",,"1036"
"843040_1","843040","13473",2022-03-04,,,,1,2022-03-07 15:04:34,2022-09-19 14:13:25,"23",,"1036"
"843040_3","843040","13473",2022-09-15,,,,3,2022-03-07 15:04:34,2022-09-19 14:13:25,"23",,"1036"
"824230_1","824230","14780",2021-07-09,,,,1,2021-09-09 14:17:23,2021-11-02 15:46:54,"27",,"1036"
"824230_3","824230","14780",2021-11-02,,,,3,2021-09-09 14:17:23,2021-11-02 15:46:54,"27",,"1036"
"739331_1","739331","14828",2019-07-01,,,,1,2019-07-09 07:44:59,2020-06-24 12:34:56,"49",,"1036"
"739331_3","739331","14828",2020-01-31,,,,3,2019-07-09 07:44:59,2020-06-24 12:34:56,"49",,"1036"
"831386_1","831386","15891",2021-11-16,,,,1,2021-11-19 15:07:26,2021-12-30 15:36:07,"28",,"1036"
"831386_3","831386","15891",2021-12-30,,,,3,2021-11-19 15:07:26,2021-12-30 15:36:07,"28",,"1036"
"833831_1","833831","15891",2021-06-22,,,,1,2021-12-15 13:33:49,2021-12-15 13:34:17,"29",,"1036"
"833831_3","833831","15891",2021-09-14,,,,3,2021-12-15 13:33:49,2021-12-15 13:34:17,"29",,"1036"
"848868_1","848868","16403",2022-04-21,,,,1,2022-05-01 15:14:14,2022-05-10 11:53:59,"28",,"1036"
"848868_3","848868","16403",2022-05-05,,,,3,2022-05-01 15:14:14,2022-05-10 11:53:59,"28",,"1036"
"796497_1","796497","21475",2021-01-12,,,,1,2021-01-12 12:16:01,2022-02-11 10:47:54,"18",,"1036"
"796497_3","796497","21475",2022-02-11,,,,3,2021-01-12 12:16:01,2022-02-11 10:47:54,"18",,"1036"
